Semana,MUNICIPIO,GFS,MERGE,REGIAO
2025-03-02,TUNAPOLIS,"2,57","1,53",EXTREMO OESTE
2025-02-23,ARARANGUA,"2,06","10,44",EXTREMO SUL CATARINENSE
2025-03-02,ARARANGUA,"1,10","0,36",EXTREMO SUL CATARINENSE
2025-02-23,BALNEARIO ARROIO DO SILVA,"1,49","0,81",EXTREMO SUL CATARINENSE
2025-03-02,BALNEARIO ARROIO DO SILVA,"0,57","0,13",EXTREMO SUL CATARINENSE
2025-02-23,BALNEARIO GAIVOTA,"1,49","0,81",EXTREMO SUL CATARINENSE
2025-03-02,BALNEARIO GAIVOTA,"0,57","0,13",EXTREMO SUL CATARINENSE
2025-02-23,ERMO,"2,06","10,44",EXTREMO SUL CATARINENSE
2025-03-02,ERMO,"1,10","0,36",EXTREMO SUL CATARINENSE
2025-02-23,JACINTO MACHADO,"2,06","10,44",EXTREMO SUL CATARINENSE
2025-03-02,JACINTO MACHADO,"1,10","0,36",EXTREMO SUL CATARINENSE
2025-02-23,MARACAJA,"2,06","10,44",EXTREMO SUL CATARINENSE
2025-03-02,MARACAJA,"1,10","0,36",EXTREMO SUL CATARINENSE
2025-02-23,MELEIRO,"2,06","10,44",EXTREMO SUL CATARINENSE
2025-03-02,MELEIRO,"1,10","0,36",EXTREMO SUL CATARINENSE
2025-02-23,MORRO GRANDE,"2,06","10,44",EXTREMO SUL CATARINENSE
2025-03-02,MORRO GRANDE,"1,10","0,36",EXTREMO SUL CATARINENSE
2025-02-23,PASSO DE TORRES,"1,49","0,81",EXTREMO SUL CATARINENSE
2025-03-02,PASSO DE TORRES,"0,57","0,13",EXTREMO SUL CATARINENSE
2025-02-23,PRAIA GRANDE,"1,49","0,81",EXTREMO SUL CATARINENSE
2025-03-02,PRAIA GRANDE,"0,57","0,13",EXTREMO SUL CATARINENSE
2025-02-23,SANTA ROSA DO SUL,"1,49","0,81",EXTREMO SUL CATARINENSE
2025-03-02,SANTA ROSA DO SUL,"0,57","0,13",EXTREMO SUL CATARINENSE
2025-02-23,SAO JOAO DO SUL,"1,49","0,81",EXTREMO SUL CATARINENSE
2025-03-02,SAO JOAO DO SUL,"0,57","0,13",EXTREMO SUL CATARINENSE
2025-02-23,SOMBRIO,"1,49","0,81",EXTREMO SUL CATARINENSE
2025-03-02,SOMBRIO,"0,57","0,13",EXTREMO SUL CATARINENSE
2025-02-23,TIMBE DO SUL,"2,06","10,44",EXTREMO SUL CATARINENSE
2025-03-02,TIMBE DO SUL,"1,10","0,36",EXTREMO SUL CATARINENSE
2025-02-23,TURVO,"2,06","10,44",EXTREMO SUL CATARINENSE
2025-03-02,TURVO,"1,10","0,36",EXTREMO SUL CATARINENSE
2025-02-23,BALNEARIO CAMBORIU,"1,98","3,09",FOZ DO RIO ITAJAI
2025-03-02,BALNEARIO CAMBORIU,"1,34","2,65",FOZ DO RIO ITAJAI
2025-02-23,BOMBINHAS,"1,98","3,09",FOZ DO RIO ITAJAI
2025-03-02,BOMBINHAS,"1,34","2,65",FOZ DO RIO ITAJAI
2025-02-23,CAMBORIU,"1,98","3,09",FOZ DO RIO ITAJAI
2025-03-02,CAMBORIU,"1,34","2,65",FOZ DO RIO ITAJAI
2025-02-23,ILHOTA,"2,22","1,04",FOZ DO RIO ITAJAI
2025-03-02,ILHOTA,"2,42","5,33",FOZ DO RIO ITAJAI
2025-02-23,ITAJAI,"2,22","1,04",FOZ DO RIO ITAJAI
2025-03-02,ITAJAI,"2,42","5,33",FOZ DO RIO ITAJAI
2025-02-23,ITAPEMA,"1,98","3,09",FOZ DO RIO ITAJAI
2025-03-02,ITAPEMA,"1,34","2,65",FOZ DO RIO ITAJAI
2025-02-23,LUIZ ALVES,"2,22","1,04",FOZ DO RIO ITAJAI
2025-03-02,LUIZ ALVES,"2,42","5,33",FOZ DO RIO ITAJAI
2025-02-23,NAVEGANTES,"2,22","1,04",FOZ DO RIO ITAJAI
2025-03-02,NAVEGANTES,"2,42","5,33",FOZ DO RIO ITAJAI
2025-02-23,PENHA,"2,22","1,04",FOZ DO RIO ITAJAI
2025-03-02,PENHA,"2,42","5,33",FOZ DO RIO ITAJAI
2025-02-23,BALNEARIO PIÇARRAS,"2,22","1,04",FOZ DO RIO ITAJAI
2025-03-02,BALNEARIO PIÇARRAS,"2,42","5,33",FOZ DO RIO ITAJAI
2025-02-23,PORTO BELO,"1,98","3,09",FOZ DO RIO ITAJAI
2025-03-02,PORTO BELO,"1,34","2,65",FOZ DO RIO ITAJAI
2025-02-23,AGUAS MORNAS,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,AGUAS MORNAS,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,ALFREDO WAGNER,"1,98","16,8",GRANDE FLORIANOPOLIS
2025-03-02,ALFREDO WAGNER,"1,34","0,14",GRANDE FLORIANOPOLIS
2025-02-23,ANGELINA,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,ANGELINA,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,ANITAPOLIS,"1,98","16,8",GRANDE FLORIANOPOLIS
2025-03-02,ANITAPOLIS,"1,34","0,14",GRANDE FLORIANOPOLIS
2025-02-23,ANTONIO CARLOS,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,ANTONIO CARLOS,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,BIGUAÇU,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,BIGUAÇU,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,CANELINHA,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,CANELINHA,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,FLORIANOPOLIS,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,FLORIANOPOLIS,"1,34","2,65",GRANDE FLORIANOPOLIS
